CITY_ASCII,WEATHER,TEMPERATURE,VISIBILITY,HUMIDITY,WIND_SPEED,SEASONS,HOURS,FORECASTDATETIME,LABEL,DETAILED_LABEL
Seoul,Clouds,15.36,10000,20,6.86,SPRING,6,2025-04-06 06:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  15.36  °C </br> Visibility:  10000  m </br> Humidity:  20  % </br> Wind Speed:  6.86  m/s </br> Datetime:  2025-04-06 06:00:00  </br>
Seoul,Clouds,13.9,10000,25,4.96,SPRING,9,2025-04-06 09:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  13.9  °C </br> Visibility:  10000  m </br> Humidity:  25  % </br> Wind Speed:  4.96  m/s </br> Datetime:  2025-04-06 09:00:00  </br>
Seoul,Clouds,12.17,10000,31,1.91,SPRING,12,2025-04-06 12:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  12.17  °C </br> Visibility:  10000  m </br> Humidity:  31  % </br> Wind Speed:  1.91  m/s </br> Datetime:  2025-04-06 12:00:00  </br>
Seoul,Clouds,10.77,10000,37,2.09,SPRING,15,2025-04-06 15:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  10.77  °C </br> Visibility:  10000  m </br> Humidity:  37  % </br> Wind Speed:  2.09  m/s </br> Datetime:  2025-04-06 15:00:00  </br>
Seoul,Clouds,9,10000,59,1.88,SPRING,18,2025-04-06 18:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  9  °C </br> Visibility:  10000  m </br> Humidity:  59  % </br> Wind Speed:  1.88  m/s </br> Datetime:  2025-04-06 18:00:00  </br>
Seoul,Clouds,8.17,10000,62,1.1,SPRING,21,2025-04-06 21:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  8.17  °C </br> Visibility:  10000  m </br> Humidity:  62  % </br> Wind Speed:  1.1  m/s </br> Datetime:  2025-04-06 21:00:00  </br>
Seoul,Clouds,11.04,10000,48,1.49,SPRING,0,2025-04-07 00:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  11.04  °C </br> Visibility:  10000  m </br> Humidity:  48  % </br> Wind Speed:  1.49  m/s </br> Datetime:  2025-04-07 00:00:00  </br>
Seoul,Clouds,14.82,10000,36,0.95,SPRING,3,2025-04-07 03:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  14.82  °C </br> Visibility:  10000  m </br> Humidity:  36  % </br> Wind Speed:  0.95  m/s </br> Datetime:  2025-04-07 03:00:00  </br>
Seoul,Clouds,17.94,10000,29,0.61,SPRING,6,2025-04-07 06:00:00,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br>,<b><a href=''> Seoul </a></b> </br> <b> Clouds </b></br> Temperature:  17.94  °C </br> Visibility:  10000  m </br> Humidity:  29  % </br> Wind Speed:  0.61  m/s </br> Datetime:  2025-04-07 06:00:00  </br>
New York,Clouds,5.86,10000,39,4.49,SPRING,9,2025-04-02 09:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  5.86  °C </br> Visibility:  10000  m </br> Humidity:  39  % </br> Wind Speed:  4.49  m/s </br> Datetime:  2025-04-02 09:00:00  </br>
New York,Clouds,4.31,10000,37,4.35,SPRING,12,2025-04-02 12:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  4.31  °C </br> Visibility:  10000  m </br> Humidity:  37  % </br> Wind Speed:  4.35  m/s </br> Datetime:  2025-04-02 12:00:00  </br>
New York,Clouds,6.74,10000,32,4.01,SPRING,15,2025-04-02 15:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  6.74  °C </br> Visibility:  10000  m </br> Humidity:  32  % </br> Wind Speed:  4.01  m/s </br> Datetime:  2025-04-02 15:00:00  </br>
New York,Clouds,8.02,10000,47,6.36,SPRING,18,2025-04-02 18:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  8.02  °C </br> Visibility:  10000  m </br> Humidity:  47  % </br> Wind Speed:  6.36  m/s </br> Datetime:  2025-04-02 18:00:00  </br>
New York,Clouds,7.11,10000,60,5.96,SPRING,21,2025-04-02 21:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  7.11  °C </br> Visibility:  10000  m </br> Humidity:  60  % </br> Wind Speed:  5.96  m/s </br> Datetime:  2025-04-02 21:00:00  </br>
New York,Rain,6.81,10000,71,5.11,SPRING,0,2025-04-03 00:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  6.81  °C </br> Visibility:  10000  m </br> Humidity:  71  % </br> Wind Speed:  5.11  m/s </br> Datetime:  2025-04-03 00:00:00  </br>
New York,Clouds,7.35,10000,81,6.43,SPRING,3,2025-04-03 03:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  7.35  °C </br> Visibility:  10000  m </br> Humidity:  81  % </br> Wind Speed:  6.43  m/s </br> Datetime:  2025-04-03 03:00:00  </br>
New York,Rain,8.23,10000,85,5.5,SPRING,6,2025-04-03 06:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  8.23  °C </br> Visibility:  10000  m </br> Humidity:  85  % </br> Wind Speed:  5.5  m/s </br> Datetime:  2025-04-03 06:00:00  </br>
New York,Rain,8.8,10000,93,4.98,SPRING,9,2025-04-03 09:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  8.8  °C </br> Visibility:  10000  m </br> Humidity:  93  % </br> Wind Speed:  4.98  m/s </br> Datetime:  2025-04-03 09:00:00  </br>
New York,Rain,10.25,10000,95,4.67,SPRING,12,2025-04-03 12:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  10.25  °C </br> Visibility:  10000  m </br> Humidity:  95  % </br> Wind Speed:  4.67  m/s </br> Datetime:  2025-04-03 12:00:00  </br>
New York,Rain,13.54,10000,97,3.24,SPRING,15,2025-04-03 15:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  13.54  °C </br> Visibility:  10000  m </br> Humidity:  97  % </br> Wind Speed:  3.24  m/s </br> Datetime:  2025-04-03 15:00:00  </br>
New York,Clouds,16.95,10000,93,5.71,SPRING,18,2025-04-03 18:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  16.95  °C </br> Visibility:  10000  m </br> Humidity:  93  % </br> Wind Speed:  5.71  m/s </br> Datetime:  2025-04-03 18:00:00  </br>
New York,Clouds,19.05,10000,88,6.22,SPRING,21,2025-04-03 21:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  19.05  °C </br> Visibility:  10000  m </br> Humidity:  88  % </br> Wind Speed:  6.22  m/s </br> Datetime:  2025-04-03 21:00:00  </br>
New York,Rain,19.06,10000,87,5.91,SPRING,0,2025-04-04 00:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  19.06  °C </br> Visibility:  10000  m </br> Humidity:  87  % </br> Wind Speed:  5.91  m/s </br> Datetime:  2025-04-04 00:00:00  </br>
New York,Clouds,17.14,10000,94,4.04,SPRING,3,2025-04-04 03:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  17.14  °C </br> Visibility:  10000  m </br> Humidity:  94  % </br> Wind Speed:  4.04  m/s </br> Datetime:  2025-04-04 03:00:00  </br>
New York,Rain,15.84,10000,76,4.3,SPRING,6,2025-04-04 06:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  15.84  °C </br> Visibility:  10000  m </br> Humidity:  76  % </br> Wind Speed:  4.3  m/s </br> Datetime:  2025-04-04 06:00:00  </br>
New York,Rain,13.21,10000,88,2.2,SPRING,9,2025-04-04 09:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  13.21  °C </br> Visibility:  10000  m </br> Humidity:  88  % </br> Wind Speed:  2.2  m/s </br> Datetime:  2025-04-04 09:00:00  </br>
New York,Rain,13.44,10000,78,3.53,SPRING,12,2025-04-04 12:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  13.44  °C </br> Visibility:  10000  m </br> Humidity:  78  % </br> Wind Speed:  3.53  m/s </br> Datetime:  2025-04-04 12:00:00  </br>
New York,Clouds,12.81,10000,63,4.66,SPRING,15,2025-04-04 15:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  12.81  °C </br> Visibility:  10000  m </br> Humidity:  63  % </br> Wind Speed:  4.66  m/s </br> Datetime:  2025-04-04 15:00:00  </br>
New York,Clouds,13.95,10000,50,4.36,SPRING,18,2025-04-04 18:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  13.95  °C </br> Visibility:  10000  m </br> Humidity:  50  % </br> Wind Speed:  4.36  m/s </br> Datetime:  2025-04-04 18:00:00  </br>
New York,Clouds,16.64,10000,42,3.74,SPRING,21,2025-04-04 21:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  16.64  °C </br> Visibility:  10000  m </br> Humidity:  42  % </br> Wind Speed:  3.74  m/s </br> Datetime:  2025-04-04 21:00:00  </br>
New York,Clouds,14.88,10000,49,2.32,SPRING,0,2025-04-05 00:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  14.88  °C </br> Visibility:  10000  m </br> Humidity:  49  % </br> Wind Speed:  2.32  m/s </br> Datetime:  2025-04-05 00:00:00  </br>
New York,Clouds,14.08,10000,52,1.83,SPRING,3,2025-04-05 03:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  14.08  °C </br> Visibility:  10000  m </br> Humidity:  52  % </br> Wind Speed:  1.83  m/s </br> Datetime:  2025-04-05 03:00:00  </br>
New York,Clouds,12.98,10000,55,2.69,SPRING,6,2025-04-05 06:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  12.98  °C </br> Visibility:  10000  m </br> Humidity:  55  % </br> Wind Speed:  2.69  m/s </br> Datetime:  2025-04-05 06:00:00  </br>
New York,Clouds,12.23,10000,52,3.39,SPRING,9,2025-04-05 09:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  12.23  °C </br> Visibility:  10000  m </br> Humidity:  52  % </br> Wind Speed:  3.39  m/s </br> Datetime:  2025-04-05 09:00:00  </br>
New York,Clouds,10.55,10000,67,5.83,SPRING,12,2025-04-05 12:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  10.55  °C </br> Visibility:  10000  m </br> Humidity:  67  % </br> Wind Speed:  5.83  m/s </br> Datetime:  2025-04-05 12:00:00  </br>
New York,Rain,9.49,8737,78,2.68,SPRING,15,2025-04-05 15:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  9.49  °C </br> Visibility:  8737  m </br> Humidity:  78  % </br> Wind Speed:  2.68  m/s </br> Datetime:  2025-04-05 15:00:00  </br>
New York,Rain,10.01,10000,83,6.19,SPRING,18,2025-04-05 18:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  10.01  °C </br> Visibility:  10000  m </br> Humidity:  83  % </br> Wind Speed:  6.19  m/s </br> Datetime:  2025-04-05 18:00:00  </br>
New York,Rain,9.92,10000,89,4.78,SPRING,21,2025-04-05 21:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  9.92  °C </br> Visibility:  10000  m </br> Humidity:  89  % </br> Wind Speed:  4.78  m/s </br> Datetime:  2025-04-05 21:00:00  </br>
New York,Rain,9.93,10000,89,2.93,SPRING,0,2025-04-06 00:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  9.93  °C </br> Visibility:  10000  m </br> Humidity:  89  % </br> Wind Speed:  2.93  m/s </br> Datetime:  2025-04-06 00:00:00  </br>
New York,Rain,9.59,10000,89,3.77,SPRING,3,2025-04-06 03:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  9.59  °C </br> Visibility:  10000  m </br> Humidity:  89  % </br> Wind Speed:  3.77  m/s </br> Datetime:  2025-04-06 03:00:00  </br>
New York,Rain,9.49,10000,91,2.9,SPRING,6,2025-04-06 06:00:00,<b><a href=''> New York </a></b> </br> <b> Rain </b></br>,<b><a href=''> New York </a></b> </br> <b> Rain </b></br> Temperature:  9.49  °C </br> Visibility:  10000  m </br> Humidity:  91  % </br> Wind Speed:  2.9  m/s </br> Datetime:  2025-04-06 06:00:00  </br>
New York,Clouds,9.78,5418,95,1.93,SPRING,9,2025-04-06 09:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  9.78  °C </br> Visibility:  5418  m </br> Humidity:  95  % </br> Wind Speed:  1.93  m/s </br> Datetime:  2025-04-06 09:00:00  </br>
New York,Clouds,10.42,NA,97,1.43,SPRING,12,2025-04-06 12:00:00,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br>,<b><a href=''> New York </a></b> </br> <b> Clouds </b></br> Temperature:  10.42  °C </br> Visibility:    m </br> Humidity:  97  % </br> Wind Speed:  1.43  m/s </br> Datetime:  2025-04-06 12:00:00  </br>
